Date,Tweets,Username,Url,Followers,Likes
2022-12-28 06:41:47+00:00,#मॉडल_स्टेट_राजस्थान राजस्थान सरकार के शानदार चार साल @GovindDotasra @sachin_rt @RajCMO @artizzzz @DrKirodilalBJP @vinodmittal9 @Radhemahwa @bharatbeniwal_ https://t.co/nbQ8zMtpcZ,hariram20777117,https://twitter.com/hariram20777117/status/1607990175786995712,430,1
2022-12-28 06:40:18+00:00,@_FaridKhan Tumhra pura pakistan jitnaa century nhi lagyaa hoga utnaa to bass Sachin Tendulkar lagaa diya hai 100+73 =173,shabbuddin_md,https://twitter.com/shabbuddin_md/status/1607989801718001670,10,0
2022-12-28 06:38:21+00:00,"India's score was 2-11 in 6.4 overs when Sachin Tendulkar came to bat.
India's entire top order barring Sachin and Sourav failed against McGrath, Lee, Fleming and Warne. 

Sachin became the first Indian to score a 100 in the boxing day test.

#OnThisDay | #CricketTwitter https://t.co/IdEB95I3eE",PBTheBanglaBoy,https://twitter.com/PBTheBanglaBoy/status/1607989311236091906,217,8
2022-12-28 06:24:16+00:00,"Sachin Tendulkar had no competition at any given stage of his career 🫡🔥

#CricketTwitter #india #sachintendulkar #viratkohli https://t.co/3LJEEybNv5",Sportskeeda,https://twitter.com/Sportskeeda/status/1607985766193590273,202129,389
2022-12-28 06:22:06+00:00,"David Warner has equalled the record for most centuries as an opener in international cricket 😮🔥

#DavidWarner #SachinTendulkar #ChrisGayle #AUSvSA #CricketTwitter #PAKvNZ https://t.co/4D0RZ5Kh0m",sportz_point,https://twitter.com/sportz_point/status/1607985222947340288,550,0
2022-12-28 06:21:13+00:00,Yes These brave and courageous soldiers who dare to sacrifice themselves for the protection of our motherland should also be honoured with highest civilian awards.Even Sachin Tendulkar got https://t.co/m11XijpY8C Dr shyamal kumar mukerjee Prayagraj https://t.co/2umeSwZ28D,shyamalmukerjee,https://twitter.com/shyamalmukerjee/status/1607984998862442496,12,0
2022-12-28 06:14:48+00:00,"Most 100s as Opener in international cricket:

45 - Sachin Tendulkar
45 - David Warner*
42 - Chris Gayle
41 - Sanath Jayasuriya
40 - Matthew Hayden

Warner has equalled Sachin's record of smashing most 100s as opener in international cricket yesterday.

#AUSvSA",Sports_amaze,https://twitter.com/Sports_amaze/status/1607983384663556096,2495,10
2022-12-28 06:14:12+00:00,@Sportskeeda That's why he is GOD and GOAT @sachin_rt 🙏,Mrityunjoy_offl,https://twitter.com/Mrityunjoy_offl/status/1607983232519409667,1136,1
2022-12-28 06:12:10+00:00,@ig_ToxXxic @DevMitt29 @ANI I have been playing pc games since my school days . And i still do for entertainment purpose only . Not everyone can became virat kohli/sachin Tendulkar or shroud/dr disrespect,AnsulNag,https://twitter.com/AnsulNag/status/1607982723553202178,261,0
2022-12-28 06:07:05+00:00,@katyxkohli17 Go and see #SachinTendulkar record,nishitbhatt1616,https://twitter.com/nishitbhatt1616/status/1607981444105895936,22,0
2022-12-28 06:05:47+00:00,"Please don't compare two legends of two different fields.. Both are icons.... If Sachin Tendulkar get the ""Bharat Ratna"" These legends also deserves the same. https://t.co/rpPM1dzH29",FMAnsari18,https://twitter.com/FMAnsari18/status/1607981116950204417,8,0
2022-12-28 05:50:11+00:00,"David Warner equals Sachin Tendulkar’s record 🤩🔥

#CricketTwitter    #ausvssa https://t.co/sHjf89J1Df",Cric_Master_,https://twitter.com/Cric_Master_/status/1607977190427357184,11,1
2022-12-28 05:45:26+00:00,"@_FaridKhan Also Sachin Tendulkar and Ricky Pointing made 0 Hundreds in last 3 years, Babar Azam has surpassed all of them",rakeshvinita,https://twitter.com/rakeshvinita/status/1607975996459978752,10,0
2022-12-28 05:40:57+00:00,"Why was @klrahul changed from vice captain position? He was good in odi alteast,is this how you treat players? #KLRahul𓃵 #ViratKohli𓃵 #icc #BCCI #BCCISelectionCommittee #cricket #IPL #SachinTendulkar",MohammedShaiz21,https://twitter.com/MohammedShaiz21/status/1607974866438717440,1,0
